site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
04M11,04M11_1,HS,July,7,1,0.007429420505200594,25.056196136701338
04M11,04M11_1,HS,July,14,1,0.0037174721189591076,25.781301115241636
04M11,04M11_1,HS,July,21,1,0.18889439762022806,25.340153693604364
04M12,04M12_1,HS,July,7,1,0.3789004457652303,22.471768202080238
04M12,04M12_2,LS,July,7,1,1,21.111946508172363
04M12,04M12_1,HS,July,14,1,0.1895910780669145,24.124951672862455
04M12,04M12_2,LS,July,14,1,1,20.183167286245354
04M12,04M12_1,HS,July,21,1,0.29300941993059,24.074234010907286
04M12,04M12_2,LS,July,21,1,1,19.071740208230043
04M13,04M13_1,HS,July,7,1,0,26.367310549777116
04M13,04M13_1,HS,July,14,1,0,26.763368029739777
04M13,04M13_1,HS,July,21,1,0,26.618770451165098
04T01,04T01_1,HS,July,7,1,0,24.492882615156017
04T01,04T01_2,LS,July,7,1,0,26.793521545319464
04T01,04T01_1,HS,July,14,1,0,24.795583643122676
04T01,04T01_2,LS,July,14,1,0,27.535040892193308
04T01,04T01_1,HS,July,21,1,0,24.92701041150223
04T01,04T01_2,LS,July,21,1,0,27.500143777887953
04T02,04T02_2,LS,July,21,0.22310361923648983,0.5688888888888889,23.8428
04W01,04W01_1,HS,July,7,1,0,26.895215453194652
04W01,04W01_1,HS,July,14,1,0,27.416981412639405
04W01,04W01_1,HS,July,21,1,0,27.257119484382745
04W02,04W02_1,HS,July,7,1,0,23.027176820208023
04W02,04W02_2,LS,July,7,1,0.041604754829123326,21.85150074294205
04W02,04W02_1,HS,July,14,1,0,23.157122676579927
04W02,04W02_2,LS,July,14,1,0.428996282527881,21.920847583643123
04W02,04W02_1,HS,July,21,1,0.010411502231036193,23.00529003470501
04W02,04W02_2,LS,July,21,1,0.6192364898363907,21.80425384234011
04W03,04W03_1,HS,July,7,1,1,22.090787518573553
04W03,04W03_1,HS,July,14,1,1,21.450773234200742
04W03,04W03_1,HS,July,21,1,1,21.025210708973724
04W04,04W04_2,LS,July,7,1,1,21.22445765230312
04W04,04W04_2,LS,July,14,1,1,21.14031970260223
04W04,04W04_2,LS,July,21,1,1,20.726380763510164
20M01,20M01_1,HS,July,7,1,0,24.547607726597324
20M01,20M01_1,HS,July,14,1,0,24.40835687732342
20M01,20M01_1,HS,July,21,1,0,24.727704511650966
20M02,20M02_1,HS,July,7,1,0,21.467147102526003
20M02,20M02_1,HS,July,14,1,0,21.518401486988846
20M02,20M02_1,HS,July,21,1,0,21.801948438274664
20M04,20M04_1,HS,July,7,1,0,25.037964338781574
20M04,20M04_2,LS,July,7,1,0.010401188707280832,26.684873699851412
20M04,20M04_1,HS,July,14,1,0,25.105769516728625
